Course,Instructor
ACCT 1A,Sandra Li
ACCT 1A,Mia Breen
ACCT 1A,Catherina Wong
ACCT 1A,Richard Claire
ACCT 1A,Scott Osborne
ACCT 1AH,Mia Breen
ACCT 1B,Michael Riordan
ACCT 1B,Catherina Wong
ACCT 1B,Sandra Li
ACCT 1BH,Catherina Wong
ACCT 1C,Lih Hung
ACCT 1C,Lakshmamma Venkata
ACCT 1C,Scott Osborne
ACCT 1C,Lydia Botsford
ACCT 51A,Kevin Mello
ACCT 58,John Lord
ACCT 64,Lauri Hammond
ACCT 67,Lydia Botsford
ACCT 68,Lydia Botsford
ACCT 74,Alexis James
ACCT 87AI,Lauri Hammond
ACCT 88,Lauri Hammond
ADMJ 3,James Suits
ADMJ 6,Ramona Gabriel
ADMJ 11,Kevin Lee
ADMJ 29,Meghan Kensler
ADMJ 51,Ramona Gabriel
ADMJ 54,DuJuan Green
ADMJ 73,James Suits
ADMJ 75,Griffin Bonini
ADMJ 95,"BERNARDO, SHERYL"
AFAM 10,Julie Keiffer-Lewis
AFAM 10,Shanita Ealey
AFAM 12A,Julie Keiffer-Lewis
ANTH 1,"FELDMAN, AMANDA"
ANTH 1,Elisabeth-Anne Mabie
ANTH 1,Ameeta Tiwana
ANTH 1,Emily Beggs
ANTH 1,Leslie Berry
ANTH 1,Julie Hui
ANTH 1L,Elisabeth-Anne Mabie
ANTH 1L,Ameeta Tiwana
ANTH 2,Alicia Hedges
ANTH 2,Mayra Cerda Aguilar
ANTH 2,Angel Roque
ANTH 4,Nancy Olsen
ANTH 5,Daniel Solomon
ANTH 6,Ashidhara Das
ANTH 7,Elisabeth-Anne Mabie
ARTS 1A,Elizabeth Mjelde
ARTS 1A,Yael Karmi
ARTS 1A,Deborah Pasturel
ARTS 2A,Deborah Pasturel
ARTS 2B,Linda Becerril
ARTS 2C,Elizabeth Mjelde
ARTS 2D,Linda Becerril
ARTS 2F,Catie Cadge-Moore
ARTS 2G,So Kam Lee
ARTS 2J,Catie Cadge-Moore
ARTS 3TC,Natasha Kleit
ARTS 4A,Masako Miki
ARTS 4A,Meiru Huang
ARTS 4B,Meiru Huang
ARTS 8,Eugene Rodriguez
ARTS 12,Eugene Rodriguez
ARTS 53,Marco Marquez
ARTS 55A,Marco Marquez
ARTS 56,Marco Marquez
ASAM 1,Mae Lee
ASAM 11,Mae Lee
ASAM 20,Francesca Caparas
ASAM 40,So Kam Lee
ASAM 41,Young Jung
ASTR 4,Rachel Mastrapa
ASTR 4,Srikar Srinath
ASTR 4,Caitlin Marie Kepple
ASTR 4,Marek Cichanski
ASTR 4,Eric Peterson
ASTR 10,Eric Peterson
AUTO 57A,Brett Johnson
BIOL 45,Anna Miller
BIOL 54I,Judy Cuff-Alvarado
BIOL 54J,Judy Cuff-Alvarado
BUS 10,Byron Lilly
BUS 10,Michele Fritz
BUS 10,Wenlei Shan
BUS 10,Guillermo Hernandez
BUS 18,Sandra Spencer
BUS 18,Joseph Barbeau
BUS 18,Dan Salah
BUS 21,Byron Lilly
BUS 50,Mary Hiland
BUS 54,Sandra Spencer
BUS 55,Kimberlee Andrews-Bingham
BUS 56,Lale Yurtseven
BUS 57,Kimberlee Andrews-Bingham
BUS 60,Brian Bennett
BUS 60,Lale Yurtseven
BUS 65,Michele Fritz
BUS 70,Guillermo Hernandez
BUS 85,Oduro Takyi
BUS 87,Oduro Takyi
BUS 89,Dionne Morgan
BUS 90,Gordon Smith
BUS 90,Emily Garbe
BUS 90,Dionne Morgan
BUS 91,Dan Salah
BUS 96,Michele Fritz
CD 10G,"SUN, LI WEI"
CD 10G,Cristina Leal
CD 10H,Jila Maleksalehi
CD 10H,Julie Kennedy
CD 12,Nellie Vargas
CD 12,"SUN, LI WEI"
CD 50,"SUN, LI WEI"
CD 52,Zana Wilkie
CD 54,Nellie Vargas
CD 54,Phyllis De Motta
CD 55,Jayanti Roy
CD 58,Fatemeh Zarghami
CD 59G,Jayanti Roy
CD 64,Richard Zalman
CD 68,Jayanti Roy
CD 73,Fatemeh Zarghami
CETH 8,Marc Coronado
CETH 10,Mae Lee
CETH 13,Catie Cadge-Moore
CETH 29,Meghan Kensler
CHEM 10,"LAK, PARNIAN"
CHLX 10,Felipe Ponce
CHLX 10,Robert Unzueta
CHLX 13,Angelina Loyola
CIS 2,Valerie Taylor
CIS 3,Hoang Nguyen
CIS 3,Spera Georgiou
CIS 3,Alexander Morgan Jr
CIS 4,Anita Whitehill
CIS 4,Linda West
CIS 5,Manish Goel
CIS 6,Spera Georgiou
CIS 14A,Arthur Linn Jr
CIS 18A,Lalitha Krishnamurthy
CIS 21JA,Abeer Alameer
CIS 21JA,Yau Lau
CIS 22A,Ira Oldham
CIS 22A,Alexandre Stoykov
CIS 22A,"LAM, AN"
CIS 22A,"LIN, MAY"
CIS 22A,Mary Pape
CIS 22B,Manish Goel
CIS 22B,Edward Ahrens
CIS 22B,Hann So
CIS 22B,Linyun Yu
CIS 22C,Kamran Eftekhari
CIS 22C,Jennifer Parrish
CIS 29,Grant Larkin
CIS 35A,Linyun Yu
CIS 35A,Felix Amoruwa
CIS 40,Yau Lau
CIS 40,Anita Whitehill
CIS 40,Alexandre Stoykov
CIS 40,Mirsaeid Abolghasemi
CIS 41A,Ira Oldham
CIS 41A,Mirsaeid Abolghasemi
CIS 41B,Grant Larkin
CIS 44A,Tuan Nguyen
CIS 46,Joseph Lam
CIS 64B,Sukhjit Singh
CIS 64C,Sukhjit Singh
CIS 64G,Manish Goel
CIS 69A,Luis Barreto
CIS 69D,Luis Barreto
CIS 79,Robert Slate
CIS 89A,Valerie Taylor
CIS 89C,Arthur Linn Jr
CIS 95A,Sukhjit Singh
CIS 95B,Sukhjit Singh
CIS 98,Patricia Holmes
CIS 99,Patricia Holmes
CIS 102,Len Fisk
CIS 108,Joseph Lam
CIS 308,Joseph Lam
CIS 318A,Lalitha Krishnamurthy
CIS 340,Anita Whitehill
CIS 340,Alexandre Stoykov
CIS 369A,Luis Barreto
CIS 369D,Luis Barreto
CIS 398,Patricia Holmes
CIS 399,Patricia Holmes
CLP 5,"JOPLIN-LIGHTFOOTE, NATASHA"
CLP 5,Yolanda Johnson
CLP 7,Robert Alexander
CLP 7,Pauline Wethington
COMM 1,Joel Sakakihara
COMM 1,Stephen Hinerman
COMM 1,Alex Kramer
COMM 1,Nick Chivers
COMM 1,Thalia Bobadilla
COMM 1,James Ahern
COMM 1,Royce Cano
COMM 1,Roxanne Cnudde
COMM 1,Tina Lim
COMM 8,Alex Kramer
COMM 9,Brandon Gainer
COMM 10,Stephanie Anderson
COMM 15,Brandon Gainer
COMM 16,Nick Chivers
COMM 70,Shagundeep Kaur
COUN 5,Khoa Nguyen
COUN 5,Mark Fu
COUN 5,Tamara Goldie
COUN 5,Melinda Hughes
DANC 38A,Vernon Gallegos
DMT 60A,Paul Klingman
DMT 61A,Paul Klingman
DMT 62A,Paul Klingman
ECON 1,John Brady
ECON 1,Ravjeet Singh
ECON 1,Stephen Blohm
ECON 1,Ninos Malek
ECON 1,Manisha Perera
ECON 1,Stephen Zill
ECON 1,Monika Thomas
ECON 1,Don Uy-Barreta
ECON 1H,Stephen Zill
ECON 2,Ravjeet Singh
ECON 2,Monika Thomas
ECON 2,Don Uy-Barreta
ECON 2,Manisha Perera
ECON 2,Triyakshana Seshadri
ECON 2,Ninos Malek
ECON 2,Stephen Blohm
ECON 2H,Ravjeet Singh
ECON 3,Monika Thomas
ECON 5,Triyakshana Seshadri
EDAC 233,Monica De Carvalho
EDAC 233,"BENNETT, MARY"
EDAC 240,Sridevi Lakshmanan
EDAC 290X,Sridevi Lakshmanan
EDUC 46,Reza Shariatmadari
ELIT 10,Deborah Garfinkle
ELIT 17,Julie Pesano
ELIT 17H,Julie Pesano
ELIT 21,Francesca Caparas
ELIT 22,Adam Sandel
ELIT 24,Francesca Caparas
ELIT 39,Kim Palmore
ES 1,Alicia De Toro
ES 1,William Roeder
ES 1,Joshua McCluskey
ES 2,Alicia De Toro
ES 3,Lynn Thorensen
ES 4,William Roeder
ES 6,Jeff Staudinger
ES 50,Jeff Staudinger
ES 58,Ronald Wheelehan
ES 61L,Jeff Staudinger
ES 64,Jeff Staudinger
ES 69,Ronald Wheelehan
ES 71,Massimo Maniaci
ES 82,Ronald Wheelehan
ES 83,Massimo Maniaci
ESCI 1,Helian Ratsirarson
ESCI 1,Alicia De Toro
ESCI 1,Ryan Phillips
ESCI 1,Mary Poffenroth
ESCI 1,Jana Sanders
ESL 5,Kathleen Haven
ESL 5,Iva Tracey
ESL 5,Maria Marin
ESL 244,Webster Hamilton
ESL 251,Marcy Betlach
ESL 251,Lynh Nguyen
ESL 251,Daisy Lee
ESL 255,Pati Carobus
ESL 255,Cheri Newman
ESL 255,Daniel Tung
ESL 260B,Linda Yee
ESL 261,Iris Thot-Johnson
ESL 261,Marcy Betlach
ESL 261,Gretchen Himes
ESL 265,Ebru Goksel-Demir
ESL 265,Lisa Kohnhorst
ESL 265,Lucinda Cabral
ESL 272,Maria Marin
ESL 272,Iva Tracey
ESL 272,Linda Yee
ESL 273,Lucinda Cabral
ESL 273,Katelyn Endow
ESL 273,Cheri Newman
ESL 274,Pati Carobus
ESL 444,Webster Hamilton
ESL 451,Marcy Betlach
ESL 451,Lynh Nguyen
ESL 451,Daisy Lee
ESL 455,Pati Carobus
ESL 455,Cheri Newman
ESL 455,Daniel Tung
ESL 460B,Linda Yee
ESL 461,Iris Thot-Johnson
ESL 461,Marcy Betlach
ESL 461,Gretchen Himes
ESL 465,Ebru Goksel-Demir
ESL 465,Lisa Kohnhorst
ESL 465,Lucinda Cabral
ESL 472,Maria Marin
ESL 472,Iva Tracey
ESL 472,Linda Yee
ESL 473,Lucinda Cabral
ESL 473,Katelyn Endow
ESL 473,Cheri Newman
ESL 474,Pati Carobus
EWRT 1A,Brian Malone
EWRT 1A,Maryalice Bonilla
EWRT 1A,Mary Diehl
EWRT 1A,Anne Marie Waldsmith
EWRT 1A,Raymond Brennan
EWRT 1A,Randie Wann
EWRT 1A,John Gravener
EWRT 1A,Richard Ferrie
EWRT 1A,Margaret Hanzimanolis
EWRT 1A,Amy Leonard
EWRT 1A,Sarah Lisha
EWRT 1A,Ruth Trimble
EWRT 1A,Alexis Cattivera
EWRT 1A,Marc Coronado
EWRT 1A,Rebecca Board Liljenstolpe
EWRT 1A,Lydia Hearn
EWRT 1A,Deborah Garfinkle
EWRT 1A,Charles Gray
EWRT 1A,Husne Jahan
EWRT 1A,Alex Giardino
EWRT 1A,Nga Huynh
EWRT 1A,Yeganeh Modirzadeh
EWRT 1A,Diane Furlan
EWRT 1AH,Alex Giardino
EWRT 1B,Rebecca Board Liljenstolpe
EWRT 1B,Lauren Gordon
EWRT 2,Adam Sandel
EWRT 2,Alex Giardino
EWRT 2,Amy Leonard
EWRT 2,Dave Denny
EWRT 2,Sarah Lisha
EWRT 2,Luis Limcolioc
EWRT 2,Yeganeh Modirzadeh
EWRT 2,Charles Gray
EWRT 2,Husne Jahan
EWRT 2,Marc Coronado
EWRT 2H,Alex Giardino
EWRT 30,Jennifer Penkethman
F/TV 1,Ingrid Schulz
F/TV 2A,Christina Wright
F/TV 2B,Kristen Anderson
F/TV 2B,Christina Wright
F/TV 6A,Joshua Losben
F/TV 10,Joel Abramson
F/TV 27,Rachel Silveria
F/TV 71H,Genevieve Freckelton
F/TV 75G,Mark Hamer
FREN 1,Loubna Hafid
GEO 1,Sohini Dutt
GEO 4,Kerry Rohrmeier
GEO 10,Sohini Dutt
GEO 10,Eileen Pena
GEOL 10,Chris Dileonardo
GEOL 20,Chris Dileonardo
GERM 1,Maike Ahrends
HIST 3A,Greg Knittel
HIST 3A,Raeann Ramsey
HIST 3B,Christopher Jackson
HIST 3B,Rashi Jackman
HIST 3BH,Christopher Jackson
HIST 3C,Christopher Jackson
HIST 3C,George Edgar
HIST 3CH,Christopher Jackson
HIST 6A,Ben Kline
HIST 6C,Ben Kline
HIST 9,Anne Hickling
HIST 17A,Carol Cini
HIST 17A,Greg Knittel
HIST 17B,Hai Nguyen
HIST 17B,Greg Knittel
HIST 17B,Christopher Jackson
HIST 17BH,Christopher Jackson
HIST 17C,Christopher Jackson
HIST 17C,David Howard-Pitney
HIST 17C,Carol Cini
HIST 17C,Raeann Ramsey
HIST 17C,Hai Nguyen
HIST 18A,Julie Keiffer-Lewis
HLTH 21,Alison Campbell
HLTH 21,Barbara Liechty
HNDI 1,Nilu Gupta
HTEC 50,Sumedha Sherlekar
HTEC 60A,Maureen Miramontes
HTEC 60A,Sumedha Sherlekar
HTEC 60G,Susan Schmitz
HTEC 61,Roy Shurtliff
HTEC 72,Sunita Rangwala
HTEC 73,Roy Shurtliff
HTEC 74A,Roy Shurtliff
HTEC 75,Marjorie Guanzon
HTEC 80A,Thuy Pinheiro
HTEC 82A,Eric Moon
HTEC 101C,Roy Shurtliff
HTEC 101D,Marjorie Guanzon
HTEC 101H,Roy Shurtliff
HTEC 110,Maureen Miramontes
HUMA 10,Pauline Wethington
HUMA 10,Kevin Glapion
HUMA 10,Herminio Hernando
HUMA 20,Melinda Hughes
HUMA 20,"JOPLIN-LIGHTFOOTE, NATASHA"
HUMA 30,Shireen Woo
HUMA 30,KD Huynh
HUMI 1,Lori Clinchard
HUMI 1,Barbara Hoffman
HUMI 1,Alysia Rueda
HUMI 1,Raeann Ramsey
HUMI 1,Apryl Berney
HUMI 1,Elvin Ramos
HUMI 1,"ACIDO, JEFFREY"
HUMI 1H,Lori Clinchard
HUMI 5,Wendy White
HUMI 6,Raeann Ramsey
HUMI 6,Apryl Berney
HUMI 7,Rashi Jackman
HUMI 9,Javier Galindo
HUMI 13,Young Jung
HUMI 15,Barbara Hoffman
HUMI 16,Barbara Hoffman
HUMI 16,Leslie Berry
HUMI 20,Rashi Jackman
ICS 25,Laura Chin
ICS 27,Cynthia Kaufman
INTL 8,Kamau Birago
INTL 22,Catie Cadge-Moore
ITAL 1,Diana Ferrara
JAPN 1,Yumi Mccormick
JOUR 2,Gail McElroy
JOUR 62A,Farideh Dada
JOUR 62B,Farideh Dada
JOUR 62C,Farideh Dada
JOUR 62D,Farideh Dada
JOUR 62E,Farideh Dada
JOUR 62F,Farideh Dada
KNES 6AX,Rachel Catuiza
KNES 6AX,Jason Damjanovic
KNES 11AX,Rachel Catuiza
KNES 15CX,Rachel Catuiza
KNES 15CX,Jason Damjanovic
KNES 15EX,Rachel Catuiza
KNES 15EX,Jason Damjanovic
KNES 19EX,Rachel Catuiza
KNES 19GX,Danielle Altman
KNES 19GX,Rachel Catuiza
KNES 22AX,Danielle Altman
KNES 22DX,Danielle Altman
KNES 25AX,Jason Damjanovic
KNES 25AX,Rachel Catuiza
KNES 25BX,Jason Damjanovic
KNES 25BX,Rachel Catuiza
KNES 26AX,Danielle Altman
KNES 26BX,Danielle Altman
KNES 39AX,Dawnis Guevara
KNES 39BX,Dawnis Guevara
KNES 45,Cheryl Owiesny
KNES 47,Dawnis Guevara
KNES 48,Jason Damjanovic
KNES 48,Joe D'Agostino
KNES 50A,Jason Damjanovic
KORE 1,Soo Choi
KORE 2,Young Sook Kim
LIB 1,Alex Swanner
LIB 53,Alex Swanner
LING 1,Jasmina Topalovic
LRNA 96,Diana Alves de Lima
LRNA 97,Diana Alves de Lima
LRNA 98,Diana Alves de Lima
LS 207,Cathy Patel
MAND 1,Hua-Fu Liu
MAND 3,April Phung
MAND 4,Hua-Fu Liu
MAND 51,Yang Shao
MAND 53,Diana Li
MATH 1A,Victor Legge
MATH 1A,Charles De Vogelaere
MATH 1A,Millia Ison
MATH 1A,Nahrin Rashid
MATH 1A,John Jimenez
MATH 1B,Millia Ison
MATH 1B,Salvador Guerrero
MATH 1B,Loraine Moen
MATH 1BH,Salvador Guerrero
MATH 1C,Misako Van Der Poel
MATH 1C,Ducq Nguyen
MATH 1C,Bijan Sadeghi-Hassanvand
MATH 1D,Paul Du
MATH 1D,Ducq Nguyen
MATH 2A,Hassan Bourgoub
MATH 2B,Misako Van Der Poel
MATH 10,Renuka Kapur
MATH 10,Usha Ganeshalingam
MATH 10,Leah Lane
MATH 10,Nahrin Rashid
MATH 10,Charles De Vogelaere
MATH 10,Teck Ky
MATH 10,Parviz Sales
MATH 10,"HINGTGEN, ROBERT"
MATH 10,Misako Van Der Poel
MATH 10,Loraine Moen
MATH 10,Richard Lopez
MATH 10,Danny Tran
MATH 10,Fatemeh Yarahmadi
MATH 11,Lilit Mazmanyan
MATH 11,Kejian Shi
MATH 12,Kejian Shi
MATH 22,Reza Shariatmadari
MATH 22,Lilit Mazmanyan
MATH 31,Hemendra Shah
MATH 31,Lilit Mazmanyan
MATH 31,George Krestas
MATH 32,Richard Lopez
MATH 44,William Wilson
MATH 44,Maryam Arvizu
MATH 46,Reza Shariatmadari
MET 10,Bridget James
MET 10L,Alicia Mullens
MET 20L,Alicia Mullens
MUSI 1A,Benett Zussman
MUSI 1C,Benett Zussman
NAIS 12,Meghan Kensler
NURS 50,Silvinita Rowe
NURS 91P,"AHMED, NICKHAT"
NURS 92P,"TRAN, SHARON"
NURS 93,Olga Libova
NURS 93A,Rana Marinas
NURS 94,"AHMED, NICKHAT"
NURS 94A,"SHERMAN, MELISSA"
NURS 95,"KHALIL, KHOLOUD"
NURS 96,Sandra Jung
NURS 96A,Sandra Jung
NUTR 10,Alison Campbell
NUTR 10,Georgia Acker
NUTR 10,Anna Miller
NUTR 62G,Anna Miller
PARA 3,James Suits
PARA 11,Kevin Lee
PARA 54,DuJuan Green
PARA 67,Yvonne Mills
PARA 75,Griffin Bonini
PARA 87,Daniel Blanchette
PARA 88,Yvonne Mills
PARA 94,"BERNARDO, SHERYL"
PARA 95,"BERNARDO, SHERYL"
PARA 96A,"BERNARDO, SHERYL"
PARA 98,Terry Ellis
PE 32P,Danielle Altman
PEA 1X,"BENNETT, MARY"
PEA 1X,"REGEHR, CASEY"
PHIL 1,Richard Hammerud
PHIL 1,Nick Baiamonte
PHIL 1,"LIN, DEENA"
PHIL 2,Sangeeta Mishra
PHIL 3,Nick Baiamonte
PHIL 4,"LIN, DEENA"
PHIL 4,Anthony Hanson
PHIL 8,Nick Baiamonte
PHTG 4,Sita Bhattacharji
PHTG 4,Lisa Teng
PHTG 7,Tressa Pack
PHTG 21,Sita Bhattacharji
PHTG 58A,Tressa Pack
PHTG 58B,Tressa Pack
PHTG 304,Sita Bhattacharji
PHTG 304,Lisa Teng
PHTG 358A,Tressa Pack
PHTG 358B,Tressa Pack
PHYS 50,Juming Jiao
PHYS 50,Peter Ho
PHYS 50,"TOTAH-MCCARTY, ANDREW"
POLI 1,James Nguyen
POLI 1,Robert Stockwell
POLI 1,Scott Heffner
POLI 1,Albert Schendan
POLI 1,Laura Chin
POLI 1H,Robert Stockwell
POLI 3,Robert Ovetz
POLI 11,Kevin Lee
POLI 13,James Suits
POLI 15,Laura Chin
POLI 17,Cynthia Kaufman
POLI 17H,Cynthia Kaufman
POLI 64,Robert Stockwell
POLI 64X,Robert Stockwell
POLI 64Y,Robert Stockwell
POLI 64Z,Robert Stockwell
POLI 75,Griffin Bonini
POLI 95,"BERNARDO, SHERYL"
PSYC 1,Joshua Avera
PSYC 1,Robin Schulte
PSYC 1,Mark Healy
PSYC 1,James Clifford Jr
PSYC 1,Taiki Kondo
PSYC 1,Susan Thomas
PSYC 1,Sandra Trafalis
PSYC 1,Chris Olsen
PSYC 1,Latosha Baldwin
PSYC 2,Taiki Kondo
PSYC 3,James Clifford Jr
PSYC 4,Daniel Bunce
PSYC 4,Sandra Trafalis
PSYC 4,Latosha Baldwin
PSYC 5,Daniel Bunce
PSYC 8,Jeanette Tucker
PSYC 8,Robin Schulte
PSYC 10G,"SUN, LI WEI"
PSYC 10G,Cristina Leal
PSYC 10H,Jila Maleksalehi
PSYC 10H,Julie Kennedy
PSYC 12,Sandra Trafalis
PSYC 14,Susan Thomas
PSYC 14,Melissa Tamas
PSYC 15,Chris Olsen
PSYC 24,James Clifford Jr
PSYC 64,Mark Healy
PSYC 64X,Mark Healy
PSYC 64Y,Mark Healy
PSYC 64Z,Mark Healy
REST 50,Michael Gough
REST 50,Mia Park
REST 51,Mia Park
REST 51,Amber Hatter
REST 52A,Sam Kiamanesh
REST 55,Dan Salah
REST 61,Amber Hatter
REST 350,Michael Gough
REST 350,Mia Park
REST 351,Mia Park
REST 351,Amber Hatter
REST 352A,Sam Kiamanesh
REST 355,Dan Salah
RUSS 1,Larissa Chiriaeva
SOC 1,Kamau Birago
SOC 1,Mark Pasion
SOC 1,Jason Dehaan
SOC 5,Kamau Birago
SOC 15,Chris Olsen
SOC 28,Jason Dehaan
SOC 29,Tracy Dehaan
SOC 35,Tracy Dehaan
SOC 51,Ramona Gabriel
SOC 54,DuJuan Green
SOC 73,James Suits
SOSC 80X,Cynthia Kaufman
SOSC 82X,Cynthia Kaufman
SOSC 83X,Cynthia Kaufman
SOSC 83Z,Cynthia Kaufman
SPAN 1,Carmen Lizardi-Folley
SPAN 1,Viviana Alcazar
SPAN 2,Carmen Lizardi-Folley
SPAN 3,Viviana Alcazar
THEA 1,Vernon Gallegos
VIET 1,Bac Tran
WMST 1,Marc Coronado
WMST 3C,Natasha Kleit
WMST 8,Marc Coronado
WMST 9,Anne Hickling
WMST 12,Sandra Trafalis
WMST 21,Francesca Caparas
WMST 24,Marc Coronado
WMST 28,Jason Dehaan
